Song,Artist,Lyrics Url,Lyrics
(Let's Do) The Hully Gully Twist,Bill Doggett,,
Smokie-Part 2,Bill Doggett,,
Blip Blop,Bill Doggett,,
Monkey-Shine,Bill Black's Combo,,
Twist-Her,Bill Black's Combo,,
Ole Buttermilk Sky,Bill Black's Combo,,
Very Special,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",,
I Could Have Danced All Night/Jump For Joy,Biddu Orchestra,,
Summer Of '42,Biddu Orchestra,,
11-Jul,Beyonce,,
Hoopa Hoola,Betty Johnson,,
Smile,Betty Everett & Jerry Butler,,
I Can't Give You Anything But Love,Bert Kaempfert And His Orchestra,,
Bye Bye Blues,Bert Kaempfert And His Orchestra,,
Moon Over Naples,Bert Kaempfert And His Orchestra,,
Three O'Clock In The Morning,Bert Kaempfert And His Orchestra,,
Red Roses For A Blue Lady,Bert Kaempfert And His Orchestra,,
That Happy Feeling,Bert Kaempfert And His Orchestra,,
Afrikaan Beat,Bert Kaempfert And His Orchestra,,
Now And Forever,Bert Kaempfert And His Orchestra,,
Tenderly,Bert Kaempfert And His Orchestra,,
Cerveza,Bert Kaempfert And His Orchestra,,
Wonderland By Night,Bert Kaempfert And His Orchestra,,
Intermission Riff,Bernie Lowe Orchestra,,
"Theme Music For The Film ""2001"" A Space Odyssey from Also Sprach Zarathustr",Berlin Philharmonic,,
Rock And Roll Dancin',Beckmeier Brothers,,
Somewhere In The Night,Batdorf & Rodney,,
Hey Mambo,Barry Manilow with Kid Creole & The Coconuts,,
Bless The Beasts And Children,Barry DeVorzon And Perry Botikin Jr.,,
Nadia's Theme (The Young And The Restless),Barry DeVorzon And Perry Botikin Jr.,,
"Make No Mistake, He's Mine",Barbra Streisand With Kim Carnes,,
"I Finally Found Someone (From ""The Mirror Has Two Faces"")",Barbra Streisand & Bryan Adams,,
Chinese Kung Fu,Banzaii,,
"I Heard A Rumour (From ""Disorderlies"")",Bananarama,,
"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,,
You All Dat,Baha Men With Imani Coppola,,
You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive,,
Hooked On A Feeling (Ooga-Chaka),Baby Talk,,
How Much Is That Doggie In The Window,Baby Jane & The Rockabyes,,
Do That...,Baby Featuring P. Diddy,https://genius.com/Mario-winans-i-wanna-be-your-man-interlude-lyrics,"Don't Wanna Know Lyrics
By Mario Winans featuring P. Diddy
[P. Diddy - talking]
Hold up, let me answer my phone
Some bitch callin me about some bullshit probably
I'ma call you right back
I'm doin this mixtape right here
Now back to what I was sayin
[Verse 1 - Mario Winans]
Somebody said they saw you
The person you were kissing wasn't me
And I would never ask you
I just kept it to myself
[Chorus - Mario Winans]
I don't wanna know
If your playin me, keep it on the low
Cause my heart can't take it anymore
And if your creepin, please don't let it show
Oh baby, I don't wanna know
[Verse 2 - Mario Winans]
Oh baby
I think about it when I hold you
When lookin in your eyes, I can't believe
I don't need to know the truth
Baby keep it to yourself"
Give It What You Got/Peace Pipe,B.T. Express,,
"U Will Know (From ""Jason's Lyric"")",B.M.U. (Black Men United),,
Billy And Sue,B.J. Thomas And The Triumphs,,
I'm So Lonesome I Could Cry,B.J. Thomas And The Triumphs,,
"Last Night (From ""The Nutty Professor"")",Az Yet,,
I Luv This Sh*t,August Alsina Featuring Trinidad James,,
¿Dònde Està Santa Claus? (Where Is Santa Claus?),Augie Rios,,
La Pachanga,Audrey Arno And The Hazy Osterwald Sextet,,
IOU,Arthur Baker Featuring Nikeeta,,
Dream Boy,Annette With The Afterbeats,,
Talk To Me Baby,Annette With The Afterbeats,,
Train Of Love,Annette With The Afterbeats,,
My Heart Became Of Age,Annette With The Afterbeats,,
Tall Paul,Annette With The Afterbeats,,
Baby Baby Baby,Anna King-Bobby Byrd,,
"Surrender To Me (From ""Tequila Sunrise"")",Ann Wilson & Robin Zander,,
What If I Said,Anita Cochran (Duet With Steve Wariner),,
Joey Baby,Anita & Th' So-And-So's,,
Battle Hymn Of The Republic,Andy Williams with the St. Charles Borromeo Choir,,
The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,,
What I've Been Looking For (Reprise),Andrew Seeley & Vanessa Anne Hudgens,,
Alvin's Boo-Ga-Loo,Alvin Cash & The Registers,,
The Barracuda,Alvin Cash & The Crawlers,,
The Chipmunk Song (Christmas Don't Be Late) (2007),Alvin And The Chipmunks,,
"Hello Mudduh, Hello Fadduh! (A Letter From Camp) (New 1964 Version)",Allan Sherman,,
"Someday (From ""The Hunchback Of Notre Dame"")",All-4-One,,
God Must Have Spent A Little More Time On You,Alabama Featuring 'N Sync,,
Jivin' Around,Al Casey Combo,,
Surfin' Hootenanny,Al Casey,https://genius.com/Al-casey-surfin-hootenanny-lyrics,"We're gonna have
A surfing hootenanny
Oh, oh, come on
We're gonna have
A surfing hootenanny
Oh, oh, come on, come on
Come on, come on, come on
Come on, come on
We're gonna have
A surfing hootenanny
We're gonna have
A surfing hootenanny
And the guitar player
You're gonna meet
Oh, oh, come on
They'll be playing
That surfing beat
Oh, oh, come on, come on
Come on, come on, come on
Come on, come on
We're gonna have
A surfing hootenanny
We're gonna have
A surfing hootenanny"
Bonanza,Al Caiola And His Orchestra,,
Up Above My Head (I Hear Music In The Air),Al (He's the King) Hirt,,
Belly Dancer (Bananza),Akon,https://genius.com/Akon-bananza-belly-dancer-lyrics,"[Intro]
Ah-ah, ah-ah
Ah-ah, ah-ah
Ah-ah, ah-ah
Ah-ah, ah-ah
[Chorus]
Hey ladies, drop it down
Just wanna see you touch the ground
Don't be shy, girl, go Bananza
Shake ya body like a belly dancer
Hey ladies, drop it down
Just wanna see you touch the ground
Don't be shy, girl, go Bananza (Hey girl)
Shake ya body like a belly dancer
[Verse 1]
Yo, excuse me, beg your pardon, girl
Do you have any idea what you startin', girl?
You got me tinglin', come to me minglin'
Steppin off lookin' bootylicious and jinglin'
When you walk, I see it, baby (Girl)
When you talk, I believe it, baby (Girl)
I like that, thick, petite and pretty
Little touch of sidity, love to work the kitty, like (Purr)
She loves to stir it up (Purr)
I can hear her purring up
'Cause she's the type that'll get arousy of
Get you excited and call her boyfriend up (Oh)
What's the man without the plan B?
We can meet up at the Hutter house for the TV
So stand by like a butty pass
While I watch this beautiful thing shake that ass"
The Graduation Song... Pomp And Circumstance,Adrian Kimberly,,
Lonesome Broken And Blue,Adam Wakefield,,
Fernando,ABBA,https://genius.com/Abba-fernando-lyrics,"[Intro]
[Verse 1: Frida]
Can you hear the drums, Fernando?
I remember, long ago, another starry night like this
In the firelight, Fernando
You were humming to yourself and softly strumming your guitar
I could hear the distant drums and sounds of bugle calls were coming from afar
[Verse 2: Frida & Agnetha]
They were closer now, Fernando
Every hour, every minute seemed to last eternally
I was so afraid, Fernando
We were young and full of life and none of us prepared to die
And I'm not ashamed to say the roar of guns and cannons almost made me cry
[Chorus: Frida & Agnetha]
There was something in the air that night
The stars were bright, Fernando
They were shining there for you and me
For liberty, Fernando
Though we never thought that we could lose
There's no regret
If I had to do the same again
I would, my friend, Fernando
If I had to do the same again
I would, my friend, Fernando"
"Hoop In Yo Face (From ""Sunset Park"")",69 Boyz Featuring Quad City DJ's,,
The Shadow Of Your Love,5 Stairsteps and Cubie,,
Something's Missing,5 Stairsteps and Cubie,,
Runnin',"2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch",,
Papa'z Song,2Pac Duet With Mopreme,,
Rich N*gga Sh*t,21 Savage & Metro Boomin Featuring Young Thug,,
3AM On Glenwood,21 Savage,,
4:00 AM,2 Chainz Featuring Travis Scott,,
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,,
Burn,¥$: Ye & Ty Dolla $ign,,
Fuk Sumn,¥$: Ye & Ty Dolla $ign,,
Carnival,¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,,
Field Trip,"¥$: Kanye West & Ty Dolla $ign Featuring Playboi Carti, Kodak Black & Don Toliver",,
Talking,¥$: Kanye West & Ty Dolla $ign Featuring North West,,
Vultures,¥$: Kanye West & Ty Dolla $ign Featuring Lil Durk & Bump J,,
Promotion,¥$: Kanye West & Ty Dolla $ign Featuring Future,,
Slide,¥$: Kanye West & Ty Dolla $ign,,
Burn,¥$: Kanye West & Ty Dolla $ign,,
Fuk Sumn,¥$: Kanye West & Ty Dolla $ign,,
Carnival,¥$: Kanye West & Ty Dolla $ign,,
Stars,¥$: Kanye West & Ty Dolla $ign,,
Paperwork,¥$: Kanye West & Ty Dolla $ign,,
Beg Forgiveness,¥$: Kanye West & Ty Dolla $ign,,
Hoodrat,¥$: Kanye West & Ty Dolla $ign,,
Problematic,¥$: Kanye West & Ty Dolla $ign,,
