Song,Artist,Lyrics Url,Lyrics
Lapland,The Baltimore And Ohio Marching Band,,
"(Meet) The Flintstones (From ""The Flintstones"")",The B.C. 52's,,
"Medley From ""Superstar"" (A Rock Opera)",The Assembled Multitude,,
Overture From Tommy (A Rock Opera),The Assembled Multitude,,
Rocka-Conga,The Applejacks,,
Mexican Hat Rock,The Applejacks,,
Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,,
O-o-h Child/Dear Prudence,The 5 Stairsteps,,
Dear Prudence,The 5 Stairsteps,,
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Will You Love Me Tomorrow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Watch The Flowers Grow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
C'mon Marianne,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Tell It To The Rain,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
I've Got You Under My Skin,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Opus 17 (Don't You Worry 'Bout Me),"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Working My Way Back To You,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Let's Hang On!,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Girl Come Running,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
"Bye, Bye, Baby (Baby, Goodbye)","The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Big Man In Town,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Save It For Me,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",,
Let It Be,Tessanne Chin & Adam Levine,,
Big Wide World,Teddy Randazzo,,
The Way Of A Clown,Teddy Randazzo,,
Pump Up The Jam,Technotronic Featuring Felly,,
I'm Not A Fool Anymore,T.K. Hulin,,
Make My Day,T.G. Sheppard With Clint Eastwood,,
Solitary Man,T.G. Sheppard,,
Sho Nuff Boogie (Part I),Sylvia And The Moments,,
Soul Je T'aime,Sylvia And Ralfi Pagan,,
Sincerely Yours,Sweet Sensation (With Romeo J.D.),,
It's Raining Again,Supertramp Featuring Roger Hodgson,,
My Kind Of Lady,Supertramp Featuring Rick Davies,,
Rags To Riches,Sunny & The Sunliners,,
Stars In My Eyes,Sugarloaf/Jerry Corbetta,,
Slip-In Mules (No High Heel Sneakers),Sugar Pie DeSanto,,
Igmoo (The Pride Of South Central High),Stonewall Jackson,,
Do You Think I'm Disco?,Steve Dahl And Teenage Radiation,,
Cuando Calienta El Sol (When The Sun Is Hot),Steve Allen and His Orchestra with The Copacabana Trio,,
We Can Make It Together,Steve & Eydie Featuring The Osmonds,,
Isn't It About Time,Stephen Stills-Manassas,,
Rock And Roll Crazies,Stephen Stills-Manassas,,
Boom-A-Dip-Dip,Stan Robinson,,
Rumor At The Honky Tonk,Spellbound,,
Sugar Cane,Spacemonkeyz,,
"Get Ready, Here It Comes (It's The Choo-Choo)",Southsyde B.O.I.Z.,,
"Mama Was A Rock And Roll Singer, Papa Used To Write All Her Songs Part 1",Sonny & Cher,,
Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,,
B-Please,Snoop Dogg Featuring Xzibit & Nate Dogg,,
Sole Sole Sole,Siw Malmkvist-Umberto Marcato,,
Voodoo Woman,Simon Stokes/Nighthawks,,
Just Be Straight With Me,"Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo",,
Up A Lazy River,Si Zentner And His Orchestra,,
Buzzin',Shwayze Featuring Cisco Adler,,
Heat Stick,Shoreline Mafia Presents OhGeesy & Fenix Flexin,,
Shake That Sh**,Shawnna Featuring Ludacris,,
"Visions Of A Sunset (From ""Mr. Holland's Opus"")",Shawn Stockman,,
"Saving Forever For You (From ""Beverly Hills, 90210"")",Shanice,,
Party For Two,Shania Twain With Billy Currington Or Mark McGrath,,
"The Place Where You Belong (From ""Beverly Hills Cop III"")",Shai,,
"Family Affair (From ""Addams Family Values"")",Shabba Ranks Featuring Patra And Terri & Monica,,
"Mr. Loverman (From ""Deep Cover"")",Shabba Ranks,,
Gallant Men,Senator Everett McKinley Dirksen,,
There's Nothin,Sean Kingston Featuring Elan & Juelz Santana,,
